X,Y,TOWER_ASSE,ACTION_DTT,STATUS,LINE_SERIE,TOWER_CONS,YEAR_OF_IN,TOWER_HEIG,GDO_GID
-0.3272717432,53.63147451,2AC001,2017/05/25,C,L12,D55,1996,20.28,10025380
-0.3244683354,53.63323668,2AC002,2017/05/25,C,L12,D,1992,21.9,10039150
-0.3210579672,53.63535471,2AC003,2017/05/25,C,L12,D,1992,17.18,10025381
-0.3165802184,53.63817188,2AC004,2020/04/02,C,L12,D,1992,16.49,10025382
-0.3135584824,53.64004305,2AC005,2017/05/25,C,L12,D55,1992,9.14,10038553
-0.3092146537,53.64089781,2AC006,2017/05/25,C,L12,D,1992,4.4,10036011
-0.3063056528,53.64146528,2AC007,2017/05/25,C,L12,D,1992,3.35,10039151
-0.3011202797,53.64251191,2AC008,2017/05/25,C,L12,D,1992,7.37,10025383
-0.2963801355,53.643428,2AC009,2017/05/25,C,L12,D25,1992,9,10025384
-0.2896509681,53.6445915,2AC010,2017/05/25,C,L12,D,1992,8.45,10025385
-0.2845876009,53.64544499,2AC011,2017/05/25,C,L12,D25,1992,8.5,10025386
-0.2797585038,53.64556364,2AC012,2020/04/02,C,L12,D,1992,11.29,10021148
-0.2750896417,53.64559354,2AC013,2017/05/25,C,L12,D,1992,12.65,10034802
-0.2702186663,53.64565363,2AC014,2017/05/25,C,L12,D55,1992,13.98,10038555
-0.2665813113,53.64776567,2AC015,2017/05/25,C,L12,D55,1992,12.88,10025387
-0.2662654091,53.65045388,2AC016,2020/04/02,C,L12,D,1992,12.97,10025388
-0.266103422,53.65244669,2AC017,2017/05/25,C,L12,D55,1992,11.57,10033017
-0.2621129345,53.65470001,2AC018,2017/05/25,C,L12,D,1992,10.41,10039152
-0.2586101541,53.65664454,2AC019,2020/04/02,C,L12,DT,1992,9.34,10039153
-0.257460616,53.65651479,2AC020A,2017/05/25,C,L12,DT,1992,9.16,10025389
-0.2580052717,53.6564445,2AC020B,2017/05/25,C,L6,SF60,1992,9.26,10021152
-0.2582707948,53.65609713,2AD001,2020/04/02,C,L12,DT80,1992,9.49,10030460
-0.2619334771,53.65413288,2AD002,2017/05/25,C,L12,D,1992,10.27,10033467
-0.2653677266,53.65226973,2AD003,2017/05/25,C,L12,D44,1992,11.13,10030461
-0.2656079375,53.64980744,2AD004,2017/05/25,C,L12,D,1992,12.77,10037747
-0.2658038711,53.64753867,2AD005,2017/05/25,C,L12,D43,1992,12.99,10021171
-0.2699353633,53.64525176,2AD006,2020/10/16,C,L12,D42,1992,13.86,10034993
-0.2754193517,53.64516801,2AD007,2020/10/16,C,L12,D,1992,12.48,10021149
-0.2797811144,53.64511303,2AD008,2020/04/02,C,L12,D,1992,10.83,10030462
-0.284474021,53.64500019,2AD009,2017/05/25,C,L12,D55,1992,8.26,10030463
-0.2909406129,53.64292711,2AD010,2017/05/25,C,L12,D55,1992,8.06,10033776
-0.2915906473,53.64009217,2AD011,2017/05/25,C,L12,D,1992,9.67,10036732
-0.2924319246,53.63596459,2AD012,2017/05/25,C,L12,D,1992,9.51,10030464
-0.2928660232,53.63386548,2AD013,2017/05/25,C,L12,D,1992,9.69,10032642
-0.2936949084,53.62988874,2AD014,2017/05/25,C,L12,D,1992,10.47,10030465
-0.1468664098,53.60193063,2AH001,2017/05/25,C,L12,DT(0-40),1996,2.01,10039899
-0.1526434799,53.60273064,2AH002,2017/05/25,C,L12,D25,1996,1.85,10030466
-0.1581527474,53.60216585,2AH003,2017/05/25,C,L12,D25,1996,1.89,10039900
-0.1638692853,53.60069659,2AH004,2017/05/25,C,L12,D25,1996,1.95,10030467
-0.168303423,53.59918882,2AH005,2017/05/25,C,L12,D25,1996,1.76,10030468
-0.1740094316,53.59882036,2AH006,2020/04/02,C,L12,D,1996,2.35,10036733
-0.1801597467,53.59840119,2AH007,2020/04/02,C,L12,D25,1996,2.34,10021150
-0.1856874893,53.59760175,2AH008,2020/04/02,C,L12,D,1996,2.26,10034994
-0.1900656907,53.5969621,2AH009,2017/05/25,C,L12,D,1996,4.63,10030469
-0.1953129978,53.59620669,2AH010,2020/04/02,C,L12,D,1996,4.65,10030470
-0.2000357394,53.59551033,2AH011,2017/05/25,C,L12,D,1996,6.16,10030471
-0.2046846041,53.5948363,2AH012,2017/05/25,C,L12,D25,1996,5.27,10030472
-0.2117800944,53.59380716,2AH013,2017/05/25,C,L12,D25,1996,9.67,10021165
-0.2163930788,53.59314959,2AH014,2020/04/02,C,L12,D,1996,12.22,10033468
-0.2220654601,53.59230654,2AH015,2017/05/25,C,L12,D,1996,13.17,10030473
-0.227117045,53.59158103,2AH016,2017/05/25,C,L12,D25,1996,16.28,10021151
-0.2391040135,53.63919044,2AJ001,2020/04/02,C,L12,,1996,,10040366
-0.2411449219,53.64229834,2AJ002,2017/05/25,C,L12,,1996,,10033875
-0.2431775404,53.64542135,2AJ003,2017/05/25,C,L12,,1996,,10033876
-0.2452104402,53.64854433,2AJ004,2017/05/25,C,L12,,1996,,10040367
-0.2472369389,53.65166932,2AJ005,2017/05/25,C,L12,,1996,,10033877
-0.246051822,53.65526195,2AJ006,2017/05/25,C,L12,,1996,,10033879
-0.2485635871,53.65791509,2AJ007,2017/05/25,C,L12,,1996,,10033878
-0.2519394305,53.65830733,2AJ008,2017/05/25,C,L12,,1996,,10033880
-0.254610223,53.65743613,2AJ009,2017/05/25,C,L12,,1996,,10040368
-0.7218610906,53.64425508,2KN001,2017/05/25,C,L12,D55,1996,1.1,10030474
-0.7188815863,53.64694171,2KN002,2017/05/25,C,L12,D,1996,1.59,10030475
-0.7161748023,53.64939362,2KN003,2017/05/25,C,L12,D,1996,2.26,10030476
-0.7135928103,53.65171198,2KN004,2017/05/25,C,L12,D,1996,2.89,10037748
-0.7105963542,53.65438896,2KN005,2017/05/25,C,L12,D25,1996,2.52,10038554
-0.7075337206,53.65706975,2KN006,2017/05/25,C,L12,D,1996,2.83,10036734
-0.7050571745,53.65924425,2KN007,2017/05/25,C,L12,D30,1996,2.88,10039139
-0.7028221175,53.66195444,2KN008,2017/05/25,C,L12,D,1996,2.63,10021168
-0.7014294705,53.66364002,2KN009,2017/05/25,C,L12,D25,1996,2.78,10025317
-0.6987161221,53.66692647,2KN010,2020/04/02,C,L12,D,1996,2.72,10025318
-0.6971533478,53.66876749,2KN011,2017/05/25,C,L12,D55,1996,2.92,10039140
-0.6925729766,53.66893801,2KN012,2020/04/02,C,L12,D,1996,3.08,10036003
