name,icao,phone,belongs to,description,page
Aberdeen/Dyce,EGPD,01224 725060,Aberdeen International Airport Ltd,Aberdeen International Airport Ltd,https://atcadvisor.com/aberdeen-dyce-atc-egpd
Aberdeen/Dyce,EGPD,01224 723714,NATS Ltd,NATS Ltd,https://atcadvisor.com/aberdeen-dyce-atc-egpd
Alderney,EGJA,01481 822851,ATC,ATC,https://atcadvisor.com/alderney-atc-egja
Andover Airfield,EGWA,no number,,,https://atcadvisor.com/andover-airfield-atc-egwa
Andrewsfield,EGSL,01371 856744,,,https://atcadvisor.com/andrewsfield-atc-egsl
Ascot Racecourse Heliport,EGLT,01344 878529,,,https://atcadvisor.com/ascot-racecourse-heliport-atc-eglt
Audley End Airfield,EGO2,01799 541354,,,https://atcadvisor.com/audley-end-airfield-atc-ego2
Badminton Airfield,EG03,no number,,,https://atcadvisor.com/badminton-airfield-atc-eg03
Bagby Airfield,EGNG,01845 597385,,,https://atcadvisor.com/bagby-airfield-atc-egng
Barkston Heath,EGYE,+44 1400 261201,Base Ops,Base Ops,https://atcadvisor.com/barkston-heath-egye
Barra,EGPR,01871 890212,,,https://atcadvisor.com/barra-atc-egpr
Beccles Airport,EGSM,01502 476400,,,https://atcadvisor.com/beccles-airport-atc-egsm
Bedford,EGBF,01234 332400,,,https://atcadvisor.com/bedford-atc-egbf
Belfast Aldergrove,EGAA,028 9448 4313,Airport Duty Manager,Airport Duty Manager,https://atcadvisor.com/aldergrove-egaa
Belfast Aldergrove,EGAA,077 0320 3167,Mobile,Mobile,https://atcadvisor.com/aldergrove-egaa
Belfast Aldergrove,EGAA,079 2087 7721,"NATS ATC, Mon-Fri 0900-1700 (0800-1600)","NATS ATC, Mon-Fri 0900-1700 (0800-1600)",https://atcadvisor.com/aldergrove-egaa
Belfast/City,EGAC,+44 28 9093 9093,Administration,Administration,https://atcadvisor.com/belfast-city-atc-egac
Bembridge Airport,EGHJ,01983 873051,,,https://atcadvisor.com/bembridge-airport-atc-eghj
Benbecula,EGPL,01870 602051,Administration,Administration,https://atcadvisor.com/benbecula-atc-egpl
Benbecula,EGPL,01870 604804,ATC,ATC,https://atcadvisor.com/benbecula-atc-egpl
Benbecula,EGPL,01870 604818,MET/AD Info,MET/AD Info,https://atcadvisor.com/benbecula-atc-egpl
Benbecula,EGPL,0141 8427455,Loganair Operations - Glasgow,Loganair Operations - Glasgow,https://atcadvisor.com/benbecula-atc-egpl
Benson,EGUB,+44 1491 837711,Base Ops,Base Ops,https://atcadvisor.com/benson-egub
Beverley/Linley Hill Airfield,EGNY,01964 544994,,,https://atcadvisor.com/beverley-linley-hill-airfield-atc-egny
